email Count,x,y,latitude,longitude
93,822.1417536,1829.822633,48.90260015,2.258103294
366,821.8961547,1800.764934,48.90259911,2.257468865
677,815.3642073,1838.692621,48.90257134,2.258296956
671,813.0866919,1827.957401,48.90256165,2.25806257
674,802.0661449,1859.014089,48.9025148,2.258740643
81,799.2792917,1958.734729,48.90250296,2.260917886
79,795.9415077,1878.527253,48.90248877,2.259166683
670,794.2868868,1639.03058,48.90248173,2.25393765
665,790.3071576,1677.128085,48.90246481,2.254769449
99,789.5035522,1936.803787,48.9024614,2.260439059
673,785.7767077,1814.021282,48.90244555,2.257758296
82,784.1981301,1883.169535,48.90243884,2.259268039
363,782.2927445,1848.582311,48.90243074,2.258512882
666,775.6014929,1633.719051,48.90240229,2.253821681
80,775.224902,1938.755821,48.90240069,2.260481678
369,772.0743834,1625.275781,48.9023873,2.253637336
95,771.5946419,1908.140481,48.90238526,2.259813241
676,768.354866,1847.421125,48.90237149,2.258487529
672,767.3533331,1790.454113,48.90236723,2.257243744
100,765.0177574,1871.878067,48.9023573,2.259021508
378,761.962818,965.5619891,48.90234431,2.239233525
288,760.3668142,1592.733201,48.90233753,2.25292682
678,758.5888854,1871.159353,48.90232997,2.259005816
668,758.5002287,1611.473992,48.90232959,2.253335995
675,757.4976136,1859.710947,48.90232533,2.258755858
669,751.3110753,1584.224041,48.90229903,2.252741036
273,747.2200438,1992.057055,48.90228164,2.261645427
101,744.3214152,1685.426694,48.90226931,2.254950636
96,743.2072052,1839.313118,48.90226458,2.258310504
389,741.9433795,770.2383008,48.9022592,2.23496894
667,740.5907928,1626.48484,48.90225345,2.253663734
663,739.3885282,1648.327771,48.90224834,2.25414064
558,735.4769523,1134.675883,48.90223171,2.24292586
664,735.1331668,1667.219484,48.90223025,2.25455311
284,733.8678105,1869.502838,48.90222487,2.258969649
388,722.7884071,814.8276524,48.90217777,2.235942478
554,720.7591423,992.2590852,48.90216914,2.239816414
368,719.8116463,1662.255098,48.90216512,2.254444721
561,719.2259263,1483.299544,48.90216263,2.250537508
365,717.9008469,1878.896266,48.90215699,2.259174739
376,709.0042744,1092.908819,48.90211917,2.242013942
551,707.5823118,819.7578701,48.90211313,2.236050121
377,705.5099472,1034.7765,48.90210432,2.240744714
364,705.4820467,1897.438995,48.9021042,2.259579591
285,697.6117802,1865.701775,48.90207074,2.258886658
552,696.3543809,922.1223245,48.90206539,2.238285088
553,695.7851025,875.8210468,48.90206297,2.237274173
278,692.788134,1667.318657,48.90205023,2.254555276
381,688.5446092,941.3179731,48.90203219,2.238704195
550,687.0384794,840.5203596,48.90202579,2.236503438
391,683.1117431,902.6396363,48.9020091,2.237859714
367,680.1676387,1595.292094,48.90199658,2.252982689
559,675.967798,1393.439033,48.90197872,2.248575546
353,671.1896199,1443.28486,48.90195841,2.249663851
562,667.3029208,1458.859995,48.90194189,2.250003909
371,662.9438642,1407.884054,48.90192336,2.24889093
104,654.6735021,1737.942918,48.9018882,2.256097245
279,652.960786,1682.237453,48.90188092,2.254881004
557,650.8592624,992.5243871,48.90187198,2.239822206
560,649.299162,1359.600799,48.90186535,2.247836741
556,647.7318332,1086.76186,48.90185869,2.241879733
555,647.275893,1097.278156,48.90185675,2.24210934
387,646.5373092,804.5873361,48.90185361,2.235718897
