grid,fclass,name,longitude,latitude,fclass
"8,8",tourist_info, ,2.237263,48.892853,tourist_info
"8,8",tourist_info, ,2.237271,48.89286,tourist_info
"8,8",tourist_info, ,2.237659,48.893052,tourist_info
"8,8",tourist_info, ,2.237643,48.893157,tourist_info
"8,8",tourist_info, ,2.238003,48.89335,tourist_info
"8,8",tourist_info, ,2.237947,48.893406,tourist_info
"9,5",tourist_info, ,2.239005,48.890384,tourist_info
"9,6",tourist_info, ,2.239283,48.891319,tourist_info
"9,9",tourist_info, ,2.238574,48.893903,tourist_info
"1,5",theatre,Théatre par le Bas,2.22728,48.890433,theatre
"11,0",thai restaurant,Le Petit Thai,2.242721876,48.88513214,thai restaurant
"19,10",swimming pool,Piscine Municipale (Piscine Municipale de Courbevoie),2.25333,48.894709,swimming pool
"10,12",sushi restaurant,Lune Sushi,2.241174728,48.8980532,sushi restaurant
"9,7",supermarket,Monoprix,2.238837,48.892457,supermarket
"15,4",supermarket,Franprix,2.246848,48.88964,supermarket
"19,9",supermarket,Carrefour Market,2.252663,48.894432,supermarket
"14,0",supermarket,Carrefour City,2.245966,48.885854,supermarket
"16,11",supermarket,A2pas,2.249191,48.896074,supermarket
"16,10",steakhouse,Beef Cut,2.249815464,48.89560096,steakhouse
"2,10",stadium,Paris la Défense Arena,2.229565923,48.89559807,stadium
"16,6",sports_centre,Gymnase des Renardières,2.248471,48.891287,sports_centre
"12,8",sports_centre,CMG Sports Club,2.242594,48.892752,sports_centre
"9,5",sporting goods retail,Nike Store Paris la Defense,2.237944921,48.89076498,sporting goods retail
"4,7",soup restaurant,Soup'app,2.2327738,48.893147,soup restaurant
"8,9",snack place,Bar 6 Pullman,2.239072,48.894982,snack place
"16,2",sculpture garden,Les Hommes de la Cité,2.24962558,48.88851733,sculpture garden
"9,8",school,ESSEC,2.239002,48.892916,school
"8,2",school,école maternelle Défense 2000,2.237026,48.887318,school
"11,0",school,école élémentaire République,2.24157,48.885688,school
"2,0",school,école des Bergères,2.229723,48.885543,school
"5,7",scenic lookout,La Jetée,2.233522767,48.893221,scenic lookout
"8,6",sandwich restaurant,Pret A Manger,2.238078117,48.89158383,sandwich restaurant
"7,10",salad restaurant,MONGOO la Defense,2.236774564,48.89579846,salad restaurant
"2,6",salad restaurant,Express Granite,2.230217363,48.8919216,salad restaurant
"7,6",roof deck,La Promenade (Toit de la Grande Arche de la Défense),2.236288,48.892415,roof deck
"7,5",retail,Westfield les 4 Temps,2.237493,48.89063,retail
"8,6",retail,Marks & Spencer Food,2.238522295,48.89163313,retail
"9,7",restaurant,Yùki Ono,2.239456,48.892563,restaurant
"1,10",restaurant,Yoshi Sushi,2.227241,48.894564,restaurant
"19,8",restaurant,Vietnam Kitchen,2.253168,48.892963,restaurant
"18,11",restaurant,Valentino Pizzeria,2.252135,48.895924,restaurant
"4,1",restaurant,Sushi Time's,2.232433,48.886914,restaurant
"16,2",restaurant,Story Place,2.248089,48.887951,restaurant
"8,12",restaurant,Soleil d'Or,2.237225,48.896423,restaurant
"14,12",restaurant,So Thai,2.245819,48.896755,restaurant
"16,8",restaurant,Sen Sushi,2.248142,48.893448,restaurant
"16,11",restaurant,Sakura,2.248939,48.896097,restaurant
"19,8",restaurant,Ristorante Mamma Mia,2.253371,48.89275,restaurant
"13,1",restaurant,Resunga,2.2445,48.886453,restaurant
"19,11",restaurant,Rastignac,2.252587,48.896185,restaurant
"9,3",restaurant,Porto,2.23897,48.888445,restaurant
"16,12",restaurant,Planet Sushi,2.248573,48.896547,restaurant
"14,12",restaurant,Pizza San Marco,2.2453,48.896524,restaurant
"8,6",restaurant,Pizza Del Arte,2.237223,48.891411,restaurant
"14,8",restaurant,Piccolino,2.246492,48.893414,restaurant
"19,11",restaurant,Peninsula,2.252427,48.896094,restaurant
"15,4",restaurant,Pause,2.247465,48.889313,restaurant
"0,11",restaurant,O'Ginkgo,2.22683,48.895846,restaurant
"13,1",restaurant,Monte Carlo,2.244913,48.886612,restaurant
"17,2",restaurant,Marco Marco,2.250765,48.887684,restaurant
"1,10",restaurant,Lunivia,2.22719,48.894672,restaurant
"15,3",restaurant,L'Italian Lounge,2.247316,48.888254,restaurant
"12,0",restaurant,L'Imprévu,2.242794,48.885931,restaurant
"12,0",restaurant,Les Petites Fermes,2.243159,48.885889,restaurant
"0,11",restaurant,Les Darons,2.225945,48.895993,restaurant
"1,11",restaurant,Les Bambins,2.227132,48.895618,restaurant
"4,7",restaurant,Le Valmy (brasserie),2.231641,48.892293,restaurant
"15,9",restaurant,Le Tournesol,2.247891,48.894067,restaurant
"15,4",restaurant,Le Tourbillon,2.247726,48.889674,restaurant
"19,12",restaurant,Le Timg?d,2.252905,48.896706,restaurant
"0,10",restaurant,Le P'tit Breton,2.226844,48.894766,restaurant
"0,9",restaurant,Le Ptit Breton,2.226871848,48.89477217,restaurant
"1,10",restaurant,Le Piano,2.227159,48.894472,restaurant
"17,11",restaurant,Le Madrissio,2.250021,48.895415,restaurant
"19,8",restaurant,Le Gavroche,2.253486,48.892642,restaurant
"0,10",restaurant,Le Bistrot d'Olivier,2.225532241,48.8959506,restaurant
"18,11",restaurant,Le Bistrot de l'échanson,2.251475,48.895899,restaurant
"17,12",restaurant,Le Bienvenu,2.250656,48.89652,restaurant
"14,5",restaurant,Le Ballon d'Alsace,2.246492,48.890201,restaurant
"16,9",restaurant,La Trattoria d'Angelo,2.248401,48.89358,restaurant
"15,2",restaurant,La Tavola at Sofitel Paris la Défense,2.247691154,48.88831064,restaurant
"10,12",restaurant,La Table des Artistes,2.239816,48.896902,restaurant
"14,4",restaurant,La Safranée,2.246063,48.889593,restaurant
