grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"15,3",2.24756845,48.88871212,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,2
"16,3",2.24898035,48.88871212,Landmarks and Outdoors,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,2
"17,3",2.25039225,48.88871212,Landmarks and Outdoors,Business and_Professional Services,Arts and Entertainment,Travel and Transportation,Community and Government,Education,2
"1,4",2.22780185,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"2,4",2.22921375,48.88964758,Business and_Professional Services,Arts and Entertainment,Travel and Transportation,Community and Government,Education,Health and Medicine,1
"3,4",2.23062565,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"6,4",2.23486135,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"7,4",2.23627325,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"9,4",2.23909705,48.88964758,Education,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,2
"10,4",2.24050895,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"11,4",2.24192085,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"12,4",2.24333275,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"13,4",2.24474465,48.88964758,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"14,4",2.24615655,48.88964758,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,2
"15,4",2.24756845,48.88964758,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"16,4",2.24898035,48.88964758,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"19,4",2.25321605,48.88964758,Arts and Entertainment,Education,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,3
"2,5",2.22921375,48.89058304,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"6,5",2.23486135,48.89058304,Business and_Professional Services,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education,Health and Medicine,1
"8,5",2.23768515,48.89058304,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"9,5",2.23909705,48.89058304,Retail,Business and_Professional Services,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education,0
"10,5",2.24050895,48.89058304,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"11,5",2.24192085,48.89058304,Community and Government,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,0
"12,5",2.24333275,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Retail,Travel and Transportation,Community and Government,2
"13,5",2.24474465,48.89058304,Community and Government,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,0
"14,5",2.24615655,48.89058304,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,2
"15,5",2.24756845,48.89058304,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"16,5",2.24898035,48.89058304,Business and_Professional Services,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Community and Government,Education,1
"1,6",2.22780185,48.8915185,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"5,6",2.23344945,48.8915185,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"7,6",2.23627325,48.8915185,Landmarks and Outdoors,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,2
"8,6",2.23768515,48.8915185,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"9,6",2.23909705,48.8915185,Landmarks and Outdoors,Travel and Transportation,Community and Government,Retail,Arts and Entertainment,Business and_Professional Services,2
"10,6",2.24050895,48.8915185,Health and Medicine,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"11,6",2.24192085,48.8915185,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"12,6",2.24333275,48.8915185,Business and_Professional Services,Travel and Transportation,Education,Arts and Entertainment,Community and Government,Health and Medicine,0
"14,6",2.24615655,48.8915185,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"15,6",2.24756845,48.8915185,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"16,6",2.24898035,48.8915185,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"3,7",2.23062565,48.89245396,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"4,7",2.23203755,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"6,7",2.23486135,48.89245396,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,2
"7,7",2.23627325,48.89245396,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Retail,Business and_Professional Services,Community and Government,2
"8,7",2.23768515,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Education,Travel and Transportation,Retail,Business and_Professional Services,2
"9,7",2.23909705,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Education,Community and Government,Health and Medicine,2
"10,7",2.24050895,48.89245396,Business and_Professional Services,Landmarks and Outdoors,Retail,Arts and Entertainment,Community and Government,Education,0
"14,7",2.24615655,48.89245396,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"17,7",2.25039225,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"19,7",2.25321605,48.89245396,Education,Community and Government,Arts and Entertainment,Business and_Professional Services,Health and Medicine,Landmarks and Outdoors,0
"0,8",2.22638995,48.89338942,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"3,8",2.23062565,48.89338942,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,3
"4,8",2.23203755,48.89338942,Landmarks and Outdoors,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,2
"5,8",2.23344945,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"6,8",2.23486135,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Education,Retail,Business and_Professional Services,Community and Government,2
"7,8",2.23627325,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Retail,Business and_Professional Services,Community and Government,Education,2
"8,8",2.23768515,48.89338942,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Retail,Arts and Entertainment,2
"9,8",2.23909705,48.89338942,Arts and Entertainment,Retail,Community and Government,Education,Landmarks and Outdoors,Business and_Professional Services,3
"10,8",2.24050895,48.89338942,Arts and Entertainment,Community and Government,Retail,Business and_Professional Services,Education,Health and Medicine,0
"12,8",2.24333275,48.89338942,Business and_Professional Services,Education,Arts and Entertainment,Community and Government,Health and Medicine,Landmarks and Outdoors,1
"14,8",2.24615655,48.89338942,Community and Government,Education,Arts and Entertainment,Business and_Professional Services,Health and Medicine,Landmarks and Outdoors,0
"19,8",2.25321605,48.89338942,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,0
"3,9",2.23062565,48.89432488,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"4,9",2.23203755,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"6,9",2.23486135,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"7,9",2.23627325,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"8,9",2.23768515,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"9,9",2.23909705,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"11,9",2.24192085,48.89432488,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,0
"12,9",2.24333275,48.89432488,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,Landmarks and Outdoors,0
"15,9",2.24756845,48.89432488,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"16,9",2.24898035,48.89432488,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"17,9",2.25039225,48.89432488,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,Landmarks and Outdoors,0
"19,9",2.25321605,48.89432488,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"5,10",2.23344945,48.89526035,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"6,10",2.23486135,48.89526035,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"8,10",2.23768515,48.89526035,Business and_Professional Services,Education,Arts and Entertainment,Community and Government,Health and Medicine,Landmarks and Outdoors,1
"9,10",2.23909705,48.89526035,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,0
"10,10",2.24050895,48.89526035,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,2
"13,10",2.24474465,48.89526035,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,Landmarks and Outdoors,0
"14,10",2.24615655,48.89526035,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"16,10",2.24898035,48.89526035,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"18,10",2.25180415,48.89526035,Business and_Professional Services,Education,Arts and Entertainment,Community and Government,Health and Medicine,Landmarks and Outdoors,1
"19,10",2.25321605,48.89526035,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,Landmarks and Outdoors,0
"0,11",2.22638995,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"2,11",2.22921375,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"5,11",2.23344945,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"8,11",2.23768515,48.89619581,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"9,11",2.23909705,48.89619581,Arts and Entertainment,Education,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,3
"10,11",2.24050895,48.89619581,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"11,11",2.24192085,48.89619581,Retail,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"19,11",2.25321605,48.89619581,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"1,12",2.22780185,48.89713127,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,0
"2,12",2.22921375,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"3,12",2.23062565,48.89713127,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"4,12",2.23203755,48.89713127,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"5,12",2.23344945,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"6,12",2.23486135,48.89713127,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,2
"7,12",2.23627325,48.89713127,Education,Arts and Entertainment,Business and_Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,0
"11,12",2.24192085,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
"12,12",2.24333275,48.89713127,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"16,12",2.24898035,48.89713127,Health and Medicine,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Landmarks and Outdoors,0
"19,12",2.25321605,48.89713127,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,3
