grid,name,fclass,latitude,longitude,Venue Category
"11,6",Q-Park La Défense - Centre - Grande Arche,"['parking', 'storage', 'point_of_interest', 'establishment']",48.8915376,2.2419103,Travel and Transportation
"18,10",Aprium Pharmacie Charras,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8952503,2.2518892,Health and Medicine
"7,12",Aprium Pharmacie Léonard de Vinci,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8967694,2.2362231,Health and Medicine
"19,7",Phamacie Victor Hugo well&well,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8918647,2.2530909,Health and Medicine
"17,11",Pharmacie Centrale ELSIE Santé,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.895397,2.249534,Health and Medicine
"19,4",Pharmacie des Damiers (Pharmacie Sauloup-Bocquillon),"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8891845,2.252533,Health and Medicine
"9,8",Pharmacie du RER - Boticinal,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8929321,2.2395605,Health and Medicine
"15,4",Pharmacie Manhattan,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8895441,2.2474132,Health and Medicine
"9,3",Pharmacy Boieldieu Kiem,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",48.8883056,2.2392033,Health and Medicine
"17,2",Bassin Takis - Œuvre d'art mouvante,"['point_of_interest', 'establishment']",48.8880313,2.2502268,Arts and Entertainment
"13,6",Business & Decision,"['point_of_interest', 'establishment']",48.8914598,2.244323,Business and Professional Services
"8,10",Charge And Drive Charging Station,"['point_of_interest', 'establishment']",48.895022,2.2380313,Travel and Transportation
"8,10",Consultant Business and Investment,"['point_of_interest', 'establishment']",48.8950224,2.2380733,Business and Professional Services
"11,6",Dentiste tapiero,"['point_of_interest', 'establishment']",48.8915795,2.2417644,Health and Medicine
"11,6",DEVELT Consulting,"['point_of_interest', 'establishment']",48.8910831,2.2424386,Business and Professional Services
"6,8","Directorate-General for Infrastructure, Transport and the Sea ( DGITM )","['point_of_interest', 'establishment']",48.892709,2.2353524,Business and Professional Services
"18,7",Euroconsult,"['point_of_interest', 'establishment']",48.8919528,2.2519307,Business and Professional Services
"12,6",Global Business Districts Innovation Club (GBD Innovation Club),"['point_of_interest', 'establishment']",48.8909857,2.243499,Business and Professional Services
"12,6",Holson,"['point_of_interest', 'establishment']",48.8908471,2.2435812,Business and Professional Services
"7,7",IÉSEG CONSEIL Paris Junior-Entreprise,"['point_of_interest', 'establishment']",48.892422,2.236161,Business and Professional Services
"16,3",Interface Business Languages,"['point_of_interest', 'establishment']",48.8888574,2.2485723,Business and Professional Services
"5,6",Japan Bridge - Pont d'art,"['point_of_interest', 'establishment']",48.8915298,2.2327244,Landmarks and Outdoors
"16,5",Lagardère Travel Retail,"['point_of_interest', 'establishment']",48.890549,2.2490394,Retail
"12,6","Le Catalyseur de l'Innovation et de l'Entrepreneuriat, La Défense","['point_of_interest', 'establishment']",48.8909857,2.243499,Business and Professional Services
"14,7",NTT DATA Business Solutions S.A.S.,"['point_of_interest', 'establishment']",48.8922961,2.246138,Business and Professional Services
"12,6",Orange Business Services - Customer Innovation Center,"['point_of_interest', 'establishment']",48.8910606,2.2438552,Business and Professional Services
"4,2",Paris Retail Week,"['point_of_interest', 'establishment']",48.8874544,2.2316201,Retail
"19,9",SBS Silence Business Solutions,"['point_of_interest', 'establishment']",48.8936441,2.2523928,Business and Professional Services
"6,12",SH Business,"['point_of_interest', 'establishment']",48.8965233,2.2354367,Business and Professional Services
"15,9",Taxis-Free,"['point_of_interest', 'establishment']",48.8936591,2.2469509,Travel and Transportation
"6,0",TRANSPORTDEPERSONNES.COM,"['point_of_interest', 'establishment']",48.8862867,2.2340855,Travel and Transportation
"8,11",Travail Defense,"['point_of_interest', 'establishment']",48.8960763,2.2382644,Community and Government
"15,5",Virta Charging Station,"['point_of_interest', 'establishment']",48.8906,2.2469,Travel and Transportation
"0,9",Virta Global Charging Station,"['point_of_interest', 'establishment']",48.8937113,2.2263148,Travel and Transportation
"8,5",JD Sports,"['point_of_interest', 'store', 'establishment']",48.8900753,2.2377766,Landmarks and Outdoors
"18,6",Elementary School André Malraux,"['primary_school', 'school', 'point_of_interest', 'establishment']",48.8909097,2.251057,Education
"1,11",Primary School,"['primary_school', 'school', 'point_of_interest', 'establishment']",48.8957359,2.2279742,Education
"11,12",School Alexandre Dumas,"['primary_school', 'school', 'point_of_interest', 'establishment']",48.8970173,2.2418438,Education
"11,0",School République,"['primary_school', 'school', 'point_of_interest', 'establishment']",48.8855569,2.2412279,Education
"9,3",Porto Traiteur Portuguais,"['restaurant', 'bakery', 'bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",48.8883752,2.2389782,Retail
"16,9",Tak'eat,"['restaurant', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",48.8938113,2.2489878,Retail
"16,12",Ozo Grill grillade au feu de bois,"['restaurant', 'bakery', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",48.8965093,2.248718,Retail
"5,7",La Brasserie Restaurant & Bar,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",48.8924627,2.2334488,Retail
"18,11",Vingko - Bar & Food,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",48.8957872,2.2515004,Retail
"7,6",Canard Street,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']",48.8910599,2.2361559,Retail
"18,2",A Beyrouth,"['restaurant', 'food', 'point_of_interest', 'establishment']",48.8879817,2.2509474,Retail
