zoom Count,x,y,longitude,latitude,real longitude,real latitude
83,1024.438962,1491.741995,48.90346017,2.250721836,48.88800183,2.235573953
361,2395.011432,1487.990169,48.90928685,2.250639921,48.89394629,2.235634533
295,711.52558,1486.558805,48.90212989,2.250608669,48.88664466,2.235657645
150,1203.097393,1484.933143,48.9042197,2.250573175,48.88877671,2.235683895
321,2751.887752,1482.528707,48.91080403,2.250520678,48.89549414,2.235722719
124,1833.881829,1476.650628,48.90690133,2.25039234,48.89151255,2.235817632
115,1932.360127,1475.405638,48.90731999,2.250365157,48.89193968,2.235837735
323,2730.37896,1471.774311,48.91071259,2.250285873,48.89540086,2.235896369
354,2778.085297,1471.334784,48.9109154,2.250276277,48.89560777,2.235903466
274,2196.165625,1471.076033,48.9084415,2.250270627,48.89308386,2.235907645
291,557.3792378,1469.829745,48.90147457,2.250243416,48.88597609,2.235927769
487,538.1468889,1469.364343,48.90139281,2.250233255,48.88589268,2.235935283
113,2074.01418,1461.914776,48.9079222,2.250070606,48.89255406,2.23605557
294,654.1688015,1456.685483,48.90188605,2.249956432,48.88639589,2.236140008
45,2209.108788,1453.803326,48.90849653,2.249893505,48.89314,2.236186546
326,2591.707737,1443.745021,48.91012306,2.249673898,48.89479941,2.236348956
142,609.1115008,1442.068865,48.9016945,2.249637301,48.88620047,2.236376022
112,2024.547685,1437.181529,48.90771191,2.249530594,48.89233952,2.236454937
151,1243.56998,1435.466648,48.90439176,2.249493152,48.88895225,2.236482627
355,2705.91196,1435.248115,48.91060857,2.249488381,48.89529473,2.236486155
322,2743.523222,1433.536458,48.91076847,2.24945101,48.89545787,2.236513793
327,2560.727995,1431.943215,48.90999136,2.249416224,48.89466505,2.236539519
44,2182.127063,1426.821601,48.90838182,2.249304401,48.89302297,2.236622218
273,2202.066528,1426.819259,48.90846659,2.24930435,48.89310945,2.236622256
143,643.0416939,1426.096542,48.90183875,2.249288571,48.88634763,2.236633925
488,668.6429941,1424.542792,48.90194758,2.249254647,48.88645866,2.236659014
28,1213.397197,1419.087762,48.90426348,2.249135545,48.88882138,2.236747096
59,1666.778452,1416.655563,48.90619093,2.249082442,48.89078779,2.236786368
489,505.8924431,1414.677174,48.90125569,2.249039247,48.88575279,2.236818313
290,535.8704458,1408.888167,48.90138313,2.248912853,48.8858828,2.236911788
359,2186.819114,1407.489139,48.90840177,2.248882308,48.89304332,2.236934377
43,2155.145339,1402.088354,48.90826711,2.24876439,48.89290594,2.237021584
40,1818.862003,1401.14677,48.90683748,2.248743832,48.89144741,2.237036787
324,2631.538833,1396.537796,48.91029239,2.248643202,48.89497216,2.237111208
297,666.1181303,1394.548973,48.90193685,2.248599779,48.88644772,2.237143322
26,1116.567244,1380.593366,48.90385183,2.248295081,48.88840141,2.237368662
41,1772.751295,1380.388567,48.90664145,2.248290609,48.89124742,2.237371969
325,2615.311349,1372.934183,48.91022341,2.248127855,48.89490179,2.237492334
356,2580.996569,1371.402471,48.91007752,2.248094412,48.89475295,2.237517067
296,645.8042713,1367.065517,48.90185049,2.247999721,48.88635961,2.237587095
80,1300.775666,1353.497533,48.90463495,2.247703486,48.88920036,2.237806176
57,1554.064645,1352.919982,48.90571176,2.247690876,48.89029894,2.237815502
58,1495.78412,1338.34985,48.90546399,2.24737276,48.89004616,2.238050765
125,1826.596764,1332.770583,48.90687036,2.247250946,48.89148096,2.238140853
82,1048.042575,1322.09103,48.90356052,2.247017774,48.88810421,2.238313295
131,1908.312526,1273.258947,48.90721776,2.245951603,48.89183538,2.239101783
81,1078.016572,1270.884889,48.90368794,2.245899769,48.8882342,2.239140117
56,1380.698275,1253.046147,48.90497473,2.245510288,48.88954701,2.239428158
130,2031.978763,1248.5257,48.9077435,2.245411591,48.89237175,2.239501149
129,2454.692446,1230.537884,48.90954057,2.245018856,48.89420514,2.239791597
90,2296.494043,1230.010463,48.90886803,2.24500734,48.89351901,2.239800114
27,2179.934104,1211.717298,48.9083725,2.244607938,48.89301346,2.240095492
128,2443.450061,1208.053113,48.90949278,2.244527936,48.89415639,2.240154657
155,2806.623415,1194.81106,48.91103673,2.244238817,48.89573155,2.240368475
91,2260.518411,1189.537877,48.90871508,2.244123685,48.89336297,2.240453621
347,2905.776586,1188.193231,48.91145825,2.244094327,48.89616159,2.240475333
317,2918.872201,1178.706139,48.91151393,2.243887191,48.89621839,2.240628521
5,3074.243083,1175.54652,48.91217445,2.243818206,48.89689227,2.240679539
346,2872.465815,1154.88246,48.91131664,2.243367039,48.89601712,2.2410132
154,2703.812394,1153.686651,48.91059965,2.24334093,48.89528563,2.241032509
96,3104.530069,1149.981336,48.91230321,2.24326003,48.89702363,2.241092338
88,2134.603697,1149.06529,48.90817979,2.24324003,48.89281686,2.241107129
50,1474.284064,1148.710253,48.90537259,2.243232278,48.88995291,2.241112862
51,1524.30558,1145.119249,48.90558524,2.243153874,48.89016986,2.241170846
127,1305.534695,1141.964821,48.90465519,2.243085002,48.88922101,2.24122178
126,1181.868458,1139.716344,48.90412945,2.243035911,48.88868464,2.241258086
53,1769.389577,1136.125341,48.90662716,2.242957507,48.89123284,2.241316069
473,970.1421727,1131.866742,48.90322934,2.242864527,48.88776633,2.241384833
298,715.5305358,1125.689074,48.90214692,2.242729647,48.88666203,2.241484584
336,2492.167847,1121.571689,48.90969989,2.242639751,48.89436768,2.241551066
7,2621.916871,1120.240891,48.91025149,2.242610695,48.89493043,2.241572555
92,2222.294301,1113.089657,48.90855258,2.242454559,48.89319718,2.241688025
89,2343.712061,1110.84118,48.90906876,2.242405467,48.8937238,2.241724331
