OBJECTID,osm_id,code,fclass,name,longitude,latitude,grid
538,44781617,7202,park,Parc Diderot,2.2506079,48.891332,"17,6"
539,44781617,7202,park,Parc Diderot,2.2491959,48.8917656,"16,7"
540,44792012,7202,park,Parc Charras,2.2503186,48.8951048,"17,10"
541,44792012,7202,park,Parc Charras,2.2503193,48.8951631,"17,10"
542,44792012,7202,park,Parc Charras,2.2506465,48.8953902,"17,11"
543,44792012,7202,park,Parc Charras,2.2508448,48.8953777,"17,11"
544,44792012,7202,park,Parc Charras,2.2510998,48.8955154,"18,11"
545,44792012,7202,park,Parc Charras,2.2512116,48.8954553,"18,11"
546,44792012,7202,park,Parc Charras,2.250881,48.8952558,"17,10"
547,44792012,7202,park,Parc Charras,2.2513733,48.8948937,"18,10"
548,44792012,7202,park,Parc Charras,2.2510818,48.894729,"18,10"
549,44792012,7202,park,Parc Charras,2.2509601,48.8948476,"18,10"
550,44792012,7202,park,Parc Charras,2.2507417,48.894754,"17,10"
551,44792012,7202,park,Parc Charras,2.2503474,48.8950564,"17,10"
552,44792012,7202,park,Parc Charras,2.2503186,48.8951048,"17,10"
553,44800796,7218,grass, ,2.2488518,48.8942276,"16,9"
554,44800796,7218,grass, ,2.2491319,48.8943575,"16,9"
555,44800796,7218,grass, ,2.2491767,48.894385,"16,9"
556,44800796,7218,grass, ,2.2492099,48.894444,"16,10"
557,44800796,7218,grass, ,2.2492339,48.8946028,"16,10"
558,44800796,7218,grass, ,2.2492508,48.8946856,"16,10"
559,44800796,7218,grass, ,2.249273,48.8947292,"16,10"
560,44800796,7218,grass, ,2.2495238,48.8948873,"17,10"
561,44800796,7218,grass, ,2.2496857,48.8949833,"17,10"
562,44800796,7218,grass, ,2.2497331,48.8949917,"17,10"
563,44800796,7218,grass, ,2.2497651,48.8949799,"17,10"
564,44800796,7218,grass, ,2.2497651,48.8949548,"17,10"
565,44800796,7218,grass, ,2.2497475,48.8949341,"17,10"
566,44800796,7218,grass, ,2.2495683,48.8948317,"17,10"
567,44800796,7218,grass, ,2.2494126,48.8947145,"16,10"
568,44800796,7218,grass, ,2.2492995,48.8945536,"16,10"
569,44800796,7218,grass, ,2.249253,48.8944296,"16,9"
570,44800796,7218,grass, ,2.2491978,48.8942508,"16,9"
571,44800796,7218,grass, ,2.2490777,48.89408,"16,9"
572,44800796,7218,grass, ,2.2490454,48.8941332,"16,9"
573,44800796,7218,grass, ,2.2490021,48.8941687,"16,9"
574,44800796,7218,grass, ,2.2488518,48.8942276,"16,9"
575,44803975,7218,grass, ,2.2533359,48.8945545,"19,10"
576,44803975,7218,grass, ,2.2536312,48.8947276,"19,10"
612,44803975,7218,grass, ,2.2535778,48.8942265,"19,9"
613,44803975,7218,grass, ,2.2536453,48.8942743,"19,9"
614,44803975,7218,grass, ,2.2535772,48.8943718,"19,9"
615,44803975,7218,grass, ,2.2535496,48.8944628,"19,10"
616,44803975,7218,grass, ,2.2534804,48.8945044,"19,10"
617,44803975,7218,grass, ,2.2534323,48.894479,"19,10"
618,44803975,7218,grass, ,2.2533359,48.8945545,"19,10"
681,44803978,7202,park,Promenade Saint-Nicolas,2.2481243,48.8948634,"16,10"
682,44803978,7202,park,Promenade Saint-Nicolas,2.2484373,48.8950435,"16,10"
683,44803978,7202,park,Promenade Saint-Nicolas,2.248448,48.8951837,"16,10"
684,44803978,7202,park,Promenade Saint-Nicolas,2.2486152,48.895151,"16,10"
685,44803978,7202,park,Promenade Saint-Nicolas,2.2485903,48.8948751,"16,10"
686,44803978,7202,park,Promenade Saint-Nicolas,2.2487361,48.894812,"16,10"
687,44803978,7202,park,Promenade Saint-Nicolas,2.2486404,48.8946783,"16,10"
688,44803978,7202,park,Promenade Saint-Nicolas,2.2487031,48.8946312,"16,10"
689,44803978,7202,park,Promenade Saint-Nicolas,2.2487076,48.8945758,"16,10"
690,44803978,7202,park,Promenade Saint-Nicolas,2.2486152,48.8945127,"16,10"
691,44803978,7202,park,Promenade Saint-Nicolas,2.2481243,48.8948634,"16,10"
731,58243827,7203,residential,Foyer Maurice Ravel,2.2256855,48.8921504,"0,7"
732,58243827,7203,residential,Foyer Maurice Ravel,2.2257103,48.8921871,"0,7"
733,58243827,7203,residential,Foyer Maurice Ravel,2.2258316,48.8923546,"0,7"
734,58243827,7203,residential,Foyer Maurice Ravel,2.2258181,48.8923798,"0,7"
735,58243827,7203,residential,Foyer Maurice Ravel,2.2258488,48.8924229,"0,7"
736,58243827,7203,residential,Foyer Maurice Ravel,2.2258879,48.892433,"0,7"
737,58243827,7203,residential,Foyer Maurice Ravel,2.2260484,48.8926522,"0,8"
738,58243827,7203,residential,Foyer Maurice Ravel,2.2260941,48.8926628,"0,8"
739,58243827,7203,residential,Foyer Maurice Ravel,2.2263044,48.8925968,"0,7"
740,58243827,7203,residential,Foyer Maurice Ravel,2.2263765,48.8926172,"0,7"
741,58243827,7203,residential,Foyer Maurice Ravel,2.2264241,48.8926014,"0,7"
742,58243827,7203,residential,Foyer Maurice Ravel,2.2264301,48.8926034,"0,7"
743,58243827,7203,residential,Foyer Maurice Ravel,2.2264832,48.8925861,"0,7"
744,58243827,7203,residential,Foyer Maurice Ravel,2.2264849,48.8925822,"0,7"
745,58243827,7203,residential,Foyer Maurice Ravel,2.2265058,48.8925755,"0,7"
746,58243827,7203,residential,Foyer Maurice Ravel,2.2266533,48.8925282,"0,7"
747,58243827,7203,residential,Foyer Maurice Ravel,2.2266873,48.8924654,"0,7"
748,58243827,7203,residential,Foyer Maurice Ravel,2.226683,48.89246,"0,7"
749,58243827,7203,residential,Foyer Maurice Ravel,2.2266772,48.8924585,"0,7"
750,58243827,7203,residential,Foyer Maurice Ravel,2.2266743,48.8924618,"0,7"
751,58243827,7203,residential,Foyer Maurice Ravel,2.2266643,48.8924596,"0,7"
752,58243827,7203,residential,Foyer Maurice Ravel,2.226855,48.8921002,"0,7"
753,58243827,7203,residential,Foyer Maurice Ravel,2.226846,48.8920886,"0,7"
754,58243827,7203,residential,Foyer Maurice Ravel,2.2266982,48.8920526,"0,7"
755,58243827,7203,residential,Foyer Maurice Ravel,2.2266446,48.8919787,"0,7"
756,58243827,7203,residential,Foyer Maurice Ravel,2.2265521,48.8919581,"0,7"
757,58243827,7203,residential,Foyer Maurice Ravel,2.226541,48.8919403,"0,7"
758,58243827,7203,residential,Foyer Maurice Ravel,2.2264509,48.8919188,"0,7"
759,58243827,7203,residential,Foyer Maurice Ravel,2.2264337,48.8919245,"0,7"
760,58243827,7203,residential,Foyer Maurice Ravel,2.2263998,48.8919161,"0,7"
761,58243827,7203,residential,Foyer Maurice Ravel,2.2263942,48.8919074,"0,7"
762,58243827,7203,residential,Foyer Maurice Ravel,2.226399,48.8918964,"0,7"
763,58243827,7203,residential,Foyer Maurice Ravel,2.2263689,48.8918892,"0,7"
764,58243827,7203,residential,Foyer Maurice Ravel,2.2263621,48.8918997,"0,7"
765,58243827,7203,residential,Foyer Maurice Ravel,2.2261063,48.8918407,"0,7"
766,58243827,7203,residential,Foyer Maurice Ravel,2.2260886,48.8918394,"0,7"
767,58243827,7203,residential,Foyer Maurice Ravel,2.2260624,48.8918474,"0,7"
768,58243827,7203,residential,Foyer Maurice Ravel,2.2260446,48.8918224,"0,7"
769,58243827,7203,residential,Foyer Maurice Ravel,2.2258909,48.8918756,"0,7"
770,58243827,7203,residential,Foyer Maurice Ravel,2.2258179,48.8919074,"0,7"
771,58243827,7203,residential,Foyer Maurice Ravel,2.2257512,48.8919499,"0,7"
772,58243827,7203,residential,Foyer Maurice Ravel,2.2256983,48.8919964,"0,7"
775,64226466,7211,recreation_ground, ,2.2464433,48.8876013,"14,2"
776,64226466,7211,recreation_ground, ,2.2465001,48.8876787,"14,2"
777,64226466,7211,recreation_ground, ,2.246506,48.8876768,"14,2"
778,64226466,7211,recreation_ground, ,2.2465312,48.8877112,"14,2"
779,64226466,7211,recreation_ground, ,2.2468232,48.887618,"15,2"
780,64226466,7211,recreation_ground, ,2.2467982,48.8875839,"15,2"
781,64226466,7211,recreation_ground, ,2.2468045,48.8875819,"15,2"
782,64226466,7211,recreation_ground, ,2.2467483,48.8875048,"15,2"
783,64226466,7211,recreation_ground, ,2.2464433,48.8876013,"14,2"
784,64226468,7202,park,Le Michelet,2.247583,48.8874364,"15,2"
785,64226468,7202,park,Le Michelet,2.2479137,48.887514,"15,2"
786,64226468,7202,park,Le Michelet,2.2480454,48.88727,"15,2"
787,64226468,7202,park,Le Michelet,2.2477147,48.8871924,"15,1"
788,64226468,7202,park,Le Michelet,2.247583,48.8874364,"15,2"
789,82322881,7218,grass, ,2.2473376,48.8939664,"15,9"
790,82322881,7218,grass, ,2.2475548,48.8940947,"15,9"
791,82322881,7218,grass, ,2.2475603,48.8940978,"15,9"
792,82322881,7218,grass, ,2.2475875,48.8941131,"15,9"
793,82322881,7218,grass, ,2.2476123,48.8940942,"15,9"
794,82322881,7218,grass, ,2.2477166,48.8940135,"15,9"
795,82322881,7218,grass, ,2.2476992,48.8940029,"15,9"
796,82322881,7218,grass, ,2.2477035,48.8939985,"15,9"
797,82322881,7218,grass, ,2.2474221,48.8938803,"15,9"
798,82322881,7218,grass, ,2.2473376,48.8939664,"15,9"
799,82323099,7202,park,Place des Pleiades,2.2524804,48.8936446,"19,9"
800,82323099,7202,park,Place des Pleiades,2.2526166,48.8937071,"19,9"
801,82323099,7202,park,Place des Pleiades,2.2526212,48.8937098,"19,9"
802,82323099,7202,park,Place des Pleiades,2.2526158,48.8937146,"19,9"
803,82323099,7202,park,Place des Pleiades,2.2527656,48.8938032,"19,9"
804,82323099,7202,park,Place des Pleiades,2.2527743,48.8937966,"19,9"
805,82323099,7202,park,Place des Pleiades,2.2529193,48.8938796,"19,9"
806,82323099,7202,park,Place des Pleiades,2.2530691,48.8939654,"19,9"
807,82323099,7202,park,Place des Pleiades,2.2531055,48.8939863,"19,9"
808,82323099,7202,park,Place des Pleiades,2.2530954,48.8939942,"19,9"
809,82323099,7202,park,Place des Pleiades,2.253105,48.8940002,"19,9"
810,82323099,7202,park,Place des Pleiades,2.2531607,48.8940341,"19,9"
811,82323099,7202,park,Place des Pleiades,2.2532454,48.8939745,"19,9"
812,82323099,7202,park,Place des Pleiades,2.2533192,48.8939218,"19,9"
813,82323099,7202,park,Place des Pleiades,2.2533384,48.8939084,"19,9"
814,82323099,7202,park,Place des Pleiades,2.2534619,48.8937917,"19,9"
815,82323099,7202,park,Place des Pleiades,2.2534713,48.8937826,"19,9"
816,82323099,7202,park,Place des Pleiades,2.2534087,48.8937532,"19,9"
817,82323099,7202,park,Place des Pleiades,2.2533472,48.8937237,"19,9"
818,82323099,7202,park,Place des Pleiades,2.2533316,48.8937163,"19,9"
819,82323099,7202,park,Place des Pleiades,2.2529959,48.893557,"19,9"
