grid,fclass,name,longitude,latitude
"3,6",Restaurant,Bert's,2.231049692,48.89204506
"3,10",restaurant,Bib & Guss,2.229983,48.894785
"3,9",fast_food,Big Fernand,2.231193,48.894263
"0,11",hairdresser,Biguine,2.226266,48.895894
"18,2",fast_food,Bio Burger,2.250978,48.887757
"18,3",French Restaurant,Bistro d'Édouard,2.252402045,48.88956618
"7,10",French Restaurant,Bistro du Faubourg,2.23745048,48.89618287
"10,6",bank,BNP Paribas,2.240721,48.891665
"7,5",restaurant,Boldère,2.23561,48.890728
"7,7",bakery,Bonne Journée,2.236772,48.892212
"3,4",butcher,Boucherie Besnard,2.230844,48.889561
"12,0",butcher,Boucherie République,2.242737,48.885916
"10,12",bakery,Boulangerie Faubourg de l'Arche,2.239827,48.897099
"3,4",bakery,Boulangerie Gazon,2.230907,48.889496
"10,11",Bakery,Boulangerie Pâtisserie Tiznit,2.240545079,48.89647717
"10,12",bakery,Boulangerie Patisserie Traiteur,2.240523,48.896481
"14,12",restaurant,Bovinelli,2.246081,48.896509
"19,8",Bowling Alley,Bowling Charras,2.253300234,48.89409836
"17,0",French Restaurant,Brasserie le Paris Défense,2.250990272,48.88602493
"16,12",bank,BRED,2.248337,48.896815
"7,5",Fast Food Restaurant,Bretzel Love,2.23594802,48.89107702
"6,5",Bakery,Brioche Dorée,2.235785408,48.89098168
"14,12",Creperie,Brother's Crêpes & Café,2.247135937,48.89796206
"16,10",beauty_shop,Bulle de Soins,2.24923,48.894932
"1,2",fast_food,Burger’ppétit,2.227397,48.887722
"2,5",café,Café Chassagne,2.230053611,48.89135666
"12,0",café,Caffe Chic,2.244332,48.885069
"12,6",bank,Caisse d'épargne,2.242729,48.890975
"3,3",hairdresser,Capelli Studio,2.23128,48.889036
"14,0",supermarket,Carrefour City,2.245966,48.885854
"19,9",supermarket,Carrefour Market,2.252663,48.894432
"10,6",Amusement Park,Carrousel Jules Vernes,2.241090238,48.89148045
"11,5",tourist_info,Centre - Grande Arche,2.241931,48.890757
"1,3",convenience,Chez Baba,2.227546,48.888477
"16,11",restaurant,Chez Lau,2.24862,48.896236
"17,11",fast_food,Chicken Best,2.249864,48.895503
"7,5",Mexican Restaurant,Chipotle Mexican Grill,2.237639,48.8913475
"11,6",bank,CIC,2.242119,48.891151
"18,11",bank,CIC Courbevoie Charras,2.251355,48.895462
"7,11",Banking and Finance,CIC Courbevoie Vinci,2.236889136,48.8969147
"17,12",veterinary,Clinique Vétérinaire A. Ganivet,2.250135,48.89708
"12,8",sports_centre,CMG Sports Club,2.242594,48.892752
"9,7",artwork,cnit,2.239468,48.891867
"10,6",restaurant,Cojean,2.24095,48.891677
"8,10",artwork,Colosse,2.237843,48.894938
"16,11",clothes,Comptoir des Parisiennes,2.248685,48.896156
"15,9",doityourself,COPA,2.247671,48.893904
"14,2",Plaza,Cours Michelet,2.247393429,48.8878764
"4,6",Plaza,Cours Valmy,2.232284546,48.89217637
"18,2",cafe,Coutume,2.251017,48.887834
"12,1",kindergarten,Crèche des Arcades,2.243509,48.886509
"5,4",kindergarten,Crèche des Jardins,2.233339,48.889612
"6,0",kindergarten,Crèche Les 3 Ours,2.234401,48.886057
"12,11",kindergarten,Crèche Les Chérubins,2.243878,48.895359
"16,11",bank,Crédit Agricole Courbevoie Charras,2.249028,48.895724
"16,11",bank,Crédit Mutuel,2.249407,48.895472
"13,6",restaurant,Dapprima,2.2444,48.891127
"7,10",Burger Joint,Day's Café,2.237275332,48.89559794
"4,1",laundry,De Gaulle Pressing,2.231927,48.886636
"9,7",Clothing Store,Décathlon,2.239547968,48.89259961
"15,9",fast_food,Dehliz,2.247171,48.893704
"10,11",dentist,Dental Santé,2.240729,48.895988
"0,3",convenience,Déstockage Alimentaire,2.226866,48.888165
"7,7",college,Digital College Paris La Défense,2.236711,48.892636
"19,11",furniture_shop,Dreami,2.252359,48.896046
"15,2",restaurant,DS Café,2.246979,48.887869
"15,2",Bar,Duke Burger House,2.247835867,48.88788146
"18,4",Chinese Restaurant,Dynasty 168,2.252025604,48.89026823
"12,5",restaurant,Eclipse,2.243405,48.890495
"7,8",college,école Conte,2.236202,48.892926
"2,0",school,école des Bergères,2.229723,48.885543
"11,0",school,école élémentaire République,2.24157,48.885688
"8,2",school,école maternelle Défense 2000,2.237026,48.887318
"14,4",Fast Food Restaurant,El Karim,2.247172642,48.88981711
"13,1",doctors,Elise FERTOUT-AHAROUNI,2.244796,48.886575
"11,2",doctors,Emeric Goubely - Ostéopathe Puteaux,2.241654,48.887941
"11,6",tourist_info,EPAD Info,2.24238,48.89084
"14,8",fast_food,équi Eat,2.246361,48.893359
"11,0",beauty_shop,Espace Epilation,2.242482,48.88554
"19,6",community_centre,Espace parents de la ville de Courbevoie,2.253148,48.891168
"15,2",Pedestrian Plaza,Esplanade du Général de Gaulle,2.248034477,48.88860693
"7,10",Pedestrian Plaza,Esplanade Mona Lisa,2.23644197,48.89585059
"9,8",school,ESSEC,2.239002,48.892916
"7,8",college,Exchange College,2.235748,48.892993
"4,7",Lounge,Executive Lounge de l'Hôtel Renaissance Paris la Défense,2.232963145,48.89263096
"13,4",fast_food,Exki,2.243987,48.889335
"2,6",Salad Restaurant,Express Granite,2.230217363,48.8919216
"7,6",fast_food,Five Guys,2.236215,48.891571
"9,8",restaurant,Flo Prestige,2.238571,48.892842
"9,7",Computers and Electronics Retail,Fnac,2.23958508,48.89262532
"11,4",Fountain,Fontaine Agam,2.24270761,48.8903811
"13,4",artwork,Fontaine Wallace,2.244695,48.88993
"8,12",dentist,Fonteneau,2.237915,48.896523
"15,4",hairdresser,Franck Provost,2.247976,48.889509
"16,4",Hair Salon,Franck Provost (Franck Provost - Coiffeur Courbevoie),2.249867,48.889706
"15,4",supermarket,Franprix,2.246848,48.88964
"1,10",artwork,Fresques,2.227582,48.894936
"10,12",fast_food,Friends & Fries,2.240532,48.896371
"3,4",convenience,Fruit et Légume,2.230644,48.88989
"15,9",convenience,GAM,2.247605,48.893876
"18,10",pub,Garden Café,2.251,48.895285
"19,12",furniture_shop,Gautier,2.252776,48.896284
"17,10",memorial,Général de Gaulle,2.250367,48.895127
"12,5",restaurant,Globe Trotter,2.242646,48.890706
"10,5",optician,Grand Optical,2.240042,48.890215
"7,7",viewpoint,Grande Arche,2.235893,48.892555
"15,9",bicycle_shop,Green Mobility,2.247958,48.894122
"6,12",fast_food,Grill Dehliz,2.235278,48.896461
"15,12",Fast Food Restaurant,Grill d'Istambul,2.247774303,48.89718444
"16,6",sports_centre,Gymnase des Renardières,2.248471,48.891287
"8,4",Clothing Store,H&M,2.238676035,48.89049293
