,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
106,1.49E+18,2022/1/27 16:26,2022,1,27,3,16,26,42,"@orange
2022-01-27 �?Paris, France https://t.co/YHlpXKg4d1",1.43E+18,photo.svkru,photosvkru,6,3096,,48.8567,2.3508
107,1.49E+18,2022/1/27 16:27,2022,1,27,3,16,27,2,"Vient de publier une photo �?Paris, France https://t.co/TrRcnAAOuQ",2611913834,L'Ours Kiwi Paris,lourskiwi,142,367,,48.8567,2.3508
108,1.49E+18,2022/1/27 16:28,2022,1,27,3,16,28,2,"2022-01-27 �?Paris, France https://t.co/9VUQsS6LuZ",1.43E+18,photo.svkru,photosvkru,6,3097,,48.8567,2.3508
111,1.49E+18,2022/1/27 16:29,2022,1,27,3,16,29,59,"@liebherrconstruction
2022-01-27 �?Paris, France https://t.co/N09CA7Lw9j",1.43E+18,photo.svkru,photosvkru,6,3098,,48.8567,2.3508
121,1.49E+18,2022/1/27 17:03,2022,1,27,3,17,3,56,"螠蠈位喂�?未畏渭慰蟽委蔚蠀蟽蔚 渭喂�?蠁蠅蟿慰纬蟻伪蠁委伪 @ Paris, France https://t.co/OZFSzXp218",1246309626,vrettos vrettakos,vvrettakos,4818,1517,,48.8567,2.3508
126,1.49E+18,2022/1/27 18:33,2022,1,27,3,18,33,59,"Bonjour Paris. 馃尮 @ Paris, France https://t.co/zOzYdZWezL",40604568,娼樻棴涓?hawking81,11,463,,,48.8567,2.3508
129,1.49E+18,2022/1/27 18:48,2022,1,27,3,18,48,31,"2022 pinta bueno. 驴C贸mo arranc�?este a帽o para ti? en Paris, France https://t.co/LPiE8DiCVt",34744007,Johan Rosario,lahoralatina,390,7256,,48.8567,2.3508
132,1.49E+18,2022/1/27 18:54,2022,1,27,3,18,54,31,"@bof @kenzo @maisonvalentino @parisfashionweek 鉂わ笍Haute Couture baby�?#dressme Paris @ Paris, France https://t.co/OkZ54sLqeK",48029398,W Jewell Sparks,jewellsparks,2321,9915,,48.8567,2.3508
133,1.49E+18,2022/1/27 18:59,2022,1,27,3,18,59,35,"Just posted a photo @ Paris, France https://t.co/LbMmLKxT1H",16843624,Andrew J Turner,andrewjturner,548,2855,,48.8567,2.3508
135,1.49E+18,2022/1/27 19:16,2022,1,27,3,19,16,27,"#gaz
2022-01-27 �?Paris, France https://t.co/xiWaQsBYhx",1.43E+18,photo.svkru,photosvkru,6,3100,,48.8567,2.3508
