grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"8,5",2.23768515,48.89058304,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"9,5",2.23909705,48.89058304,Health and Medicine,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,1
"10,5",2.24050895,48.89058304,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Education,Landmarks and Outdoors,5
"11,5",2.24192085,48.89058304,Arts and Entertainment,Community and Government,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Education,5
"12,5",2.24333275,48.89058304,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"13,5",2.24474465,48.89058304,Health and Medicine,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,0
"14,5",2.24615655,48.89058304,Retail,Community and Government,Health and Medicine,Arts and Entertainment,Business and Professional Services,Education,1
"15,5",2.24756845,48.89058304,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"16,5",2.24898035,48.89058304,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"17,5",2.25039225,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"19,5",2.25321605,48.89058304,Travel and Transportation,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,5
"1,6",2.22780185,48.8915185,Arts and Entertainment,Community and Government,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"2,6",2.22921375,48.8915185,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"3,6",2.23062565,48.8915185,Community and Government,Retail,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,1
"4,6",2.23203755,48.8915185,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"5,6",2.23344945,48.8915185,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"6,6",2.23486135,48.8915185,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"7,6",2.23627325,48.8915185,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"8,6",2.23768515,48.8915185,Retail,Health and Medicine,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,1
"9,6",2.23909705,48.8915185,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"10,6",2.24050895,48.8915185,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Travel and Transportation,Education,1
"11,6",2.24192085,48.8915185,Business and Professional Services,Travel and Transportation,Community and Government,Health and Medicine,Landmarks and Outdoors,Retail,5
"12,6",2.24333275,48.8915185,Business and Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"13,6",2.24474465,48.8915185,Business and Professional Services,Retail,Travel and Transportation,Arts and Entertainment,Community and Government,Education,5
"15,6",2.24756845,48.8915185,Community and Government,Education,Arts and Entertainment,Business and Professional Services,Health and Medicine,Landmarks and Outdoors,3
"16,6",2.24898035,48.8915185,Education,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,0
"18,6",2.25180415,48.8915185,Education,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,0
"19,6",2.25321605,48.8915185,Community and Government,Retail,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,1
"1,7",2.22780185,48.89245396,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"3,7",2.23062565,48.89245396,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"4,7",2.23203755,48.89245396,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"5,7",2.23344945,48.89245396,Arts and Entertainment,Landmarks and Outdoors,Retail,Business and Professional Services,Community and Government,Education,1
"7,7",2.23627325,48.89245396,Education,Landmarks and Outdoors,Retail,Business and Professional Services,Health and Medicine,Travel and Transportation,1
"8,7",2.23768515,48.89245396,Community and Government,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Education,1
"9,7",2.23909705,48.89245396,Retail,Arts and Entertainment,Education,Health and Medicine,Travel and Transportation,Business and Professional Services,1
"10,7",2.24050895,48.89245396,Community and Government,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,3
"11,7",2.24192085,48.89245396,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"14,7",2.24615655,48.89245396,Business and Professional Services,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Community and Government,Education,5
"17,7",2.25039225,48.89245396,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"18,7",2.25180415,48.89245396,Business and Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"19,7",2.25321605,48.89245396,Health and Medicine,Community and Government,Retail,Arts and Entertainment,Business and Professional Services,Education,1
"0,8",2.22638995,48.89338942,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"3,8",2.23062565,48.89338942,Health and Medicine,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,1
"4,8",2.23203755,48.89338942,Arts and Entertainment,Education,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
