grid,longitude,latitude,mediaFunction,urbanFunction
"16,10",2.24898035,48.89526035,retail and other commercial,retail
"17,10",2.25039225,48.89526035,#N/A,landmarks and outdoors
"18,10",2.25180415,48.89526035,Business and_Professional Services,landmarks and outdoors
"19,10",2.25321605,48.89526035,retail and other commercial,retail
"0,11",2.22638995,48.89619581,Arts and Entertainment,retail
"1,11",2.22780185,48.89619581,#N/A,landmarks and outdoors
"2,11",2.22921375,48.89619581,Arts and Entertainment,Business and_Professional Services
"3,11",2.23062565,48.89619581,#N/A,landmarks and outdoors
"4,11",2.23203755,48.89619581,#N/A,#N/A
"5,11",2.23344945,48.89619581,Arts and Entertainment,Business and_Professional Services
"6,11",2.23486135,48.89619581,#N/A,landmarks and outdoors
"7,11",2.23627325,48.89619581,#N/A,landmarks and outdoors
"8,11",2.23768515,48.89619581,landmarks and outdoors,landmarks and outdoors
"9,11",2.23909705,48.89619581,Arts and Entertainment,Business and_Professional Services
"10,11",2.24050895,48.89619581,landmarks and outdoors,retail
"11,11",2.24192085,48.89619581,retail and other commercial,Business and_Professional Services
"12,11",2.24333275,48.89619581,#N/A,Business and_Professional Services
"13,11",2.24474465,48.89619581,#N/A,retail
"14,11",2.24615655,48.89619581,#N/A,Business and_Professional Services
"15,11",2.24756845,48.89619581,#N/A,Business and_Professional Services
"16,11",2.24898035,48.89619581,#N/A,retail
"17,11",2.25039225,48.89619581,#N/A,retail
"18,11",2.25180415,48.89619581,#N/A,retail
"19,11",2.25321605,48.89619581,Arts and Entertainment,retail
"0,12",2.22638995,48.89713127,#N/A,Arts and Entertainment
"1,12",2.22780185,48.89713127,retail and other commercial,Arts and Entertainment
"2,12",2.22921375,48.89713127,Arts and Entertainment,Business and_Professional Services
"3,12",2.23062565,48.89713127,landmarks and outdoors,Business and_Professional Services
"4,12",2.23203755,48.89713127,landmarks and outdoors,#N/A
"5,12",2.23344945,48.89713127,Arts and Entertainment,landmarks and outdoors
"6,12",2.23486135,48.89713127,landmarks and outdoors,retail
"7,12",2.23627325,48.89713127,retail and other commercial,retail
"8,12",2.23768515,48.89713127,#N/A,retail
"9,12",2.23909705,48.89713127,#N/A,Business and_Professional Services
"10,12",2.24050895,48.89713127,#N/A,retail
"11,12",2.24192085,48.89713127,Arts and Entertainment,landmarks and outdoors
"12,12",2.24333275,48.89713127,Business and_Professional Services,landmarks and outdoors
"13,12",2.24474465,48.89713127,#N/A,Arts and Entertainment
"14,12",2.24615655,48.89713127,#N/A,retail
"15,12",2.24756845,48.89713127,#N/A,retail
"16,12",2.24898035,48.89713127,retail and other commercial,retail
"17,12",2.25039225,48.89713127,#N/A,retail
"18,12",2.25180415,48.89713127,#N/A,landmarks and outdoors
"19,12",2.25321605,48.89713127,Arts and Entertainment,retail
