grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"13,5",2.24474465,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"14,5",2.24615655,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"15,5",2.24756845,48.89058304,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"16,5",2.24898035,48.89058304,Business and_Professional Services,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Community and Government,Education,0
"17,5",2.25039225,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"18,5",2.25180415,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"19,5",2.25321605,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"3,6",2.23062565,48.8915185,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"4,6",2.23203755,48.8915185,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"5,6",2.23344945,48.8915185,Travel and Transportation,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"6,6",2.23486135,48.8915185,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"7,6",2.23627325,48.8915185,Landmarks and Outdoors,Community and Government,Arts and Entertainment,Business and_Professional Services,Education,Health and Medicine,0
"8,6",2.23768515,48.8915185,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"9,6",2.23909705,48.8915185,Landmarks and Outdoors,Travel and Transportation,Community and Government,Retail,Arts and Entertainment,Business and_Professional Services,0
"10,6",2.24050895,48.8915185,Health and Medicine,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"11,6",2.24192085,48.8915185,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"12,6",2.24333275,48.8915185,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"13,6",2.24474465,48.8915185,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"14,6",2.24615655,48.8915185,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"15,6",2.24756845,48.8915185,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"16,6",2.24898035,48.8915185,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
