FID,osm_id,code,fclass,name,longitude,latitude,grid
1277,4367377240,2907,camera_surveillance, ,2.236646,48.887995,"7,2"
691,2696457283,2903,drinking_water, ,2.236143,48.888275,"7,3"
1278,4367380545,2907,camera_surveillance, ,2.235674,48.888602,"7,3"
1478,6007156148,2906,waste_basket, ,2.236602,48.888691,"7,3"
1506,6023046735,2906,waste_basket, ,2.236137,48.888314,"7,3"
1476,6007128694,2906,waste_basket, ,2.236669,48.889241,"7,4"
18,227450780,2301,restaurant,Boldère,2.23561,48.890728,"7,5"
546,1984203935,2907,camera_surveillance, ,2.235723,48.890829,"7,5"
547,1984203936,2907,camera_surveillance, ,2.235491,48.890605,"7,5"
1493,6015044812,2593,vending_any, ,2.235503,48.890703,"7,5"
1494,6015044813,2593,vending_any, ,2.235522,48.890704,"7,5"
1495,6015044814,2593,vending_any, ,2.235542,48.890705,"7,5"
1496,6015044815,2593,vending_any, ,2.235564,48.890706,"7,5"
1497,6015044816,2593,vending_any, ,2.235584,48.890707,"7,5"
140,1282766450,2903,drinking_water, ,2.236326,48.890997,"7,6"
544,1984203933,2907,camera_surveillance, ,2.236676,48.891192,"7,6"
545,1984203934,2907,camera_surveillance, ,2.236292,48.891338,"7,6"
1411,5546739657,2302,fast_food,Jour,2.236082,48.891686,"7,6"
1634,7113758076,2301,restaurant,Hanoi Cà Phê,2.23643,48.890877,"7,6"
1818,8894876817,2302,fast_food,Five Guys,2.236215,48.891571,"7,6"
7,181805216,2742,viewpoint,Grande Arche,2.235893,48.892555,"7,7"
826,2813296236,2906,waste_basket, ,2.236747,48.892063,"7,7"
827,2813296238,2906,waste_basket, ,2.236708,48.892074,"7,7"
828,2813296240,2902,bench, ,2.23674,48.892083,"7,7"
829,2813296242,2906,waste_basket, ,2.236596,48.892116,"7,7"
830,2813296243,2902,bench, ,2.236619,48.89212,"7,7"
831,2813296245,2701,tourist_info, ,2.236788,48.892141,"7,7"
832,2813296247,2701,tourist_info, ,2.236681,48.892196,"7,7"
833,2813296251,2906,waste_basket, ,2.236847,48.892233,"7,7"
837,2813296266,2906,waste_basket, ,2.236876,48.892418,"7,7"
838,2813296267,2502,bakery,Bonne Journée,2.236772,48.892212,"7,7"
840,2813296270,2906,waste_basket, ,2.236844,48.892432,"7,7"
841,2813296271,2593,vending_any, ,2.236875,48.892447,"7,7"
1865,9306528318,2084,college,Digital College Paris La Défense,2.236711,48.892636,"7,7"
