OBJECTID,osm_id,code,fclass,name,type,levels,ORIG_FID,X,Y,grid
159,46692183,1500,building, ,government,0.0,7,2.227982300442875,48.89319959958192,"1,8"
160,46692183,1500,building, ,government,0.0,7,2.228064600101277,48.89309729990055,"1,8"
161,46692183,1500,building, ,government,0.0,7,2.227951700110907,48.8930582999007,"1,8"
162,46692183,1500,building, ,government,0.0,7,2.227911299866662,48.893044300154365,"1,8"
163,46692183,1500,building, ,government,0.0,7,2.227883800397137,48.893067400140474,"1,8"
164,46692183,1500,building, ,government,0.0,7,2.227860900060534,48.8930828001312,"1,8"
165,46692183,1500,building, ,government,0.0,7,2.227839300143614,48.893092299669945,"1,8"
166,46692183,1500,building, ,government,0.0,7,2.227813500392756,48.89309879996972,"1,8"
167,46692183,1500,building, ,government,0.0,7,2.227774000369891,48.89310309962838,"1,8"
168,46692183,1500,building, ,government,0.0,7,2.227745999977969,48.89310309962838,"1,8"
169,46692183,1500,building, ,government,0.0,7,2.227708300397808,48.89310180010807,"1,8"
170,46692183,1500,building, ,government,0.0,7,2.227672000162727,48.893092299669945,"1,8"
171,46692183,1500,building, ,government,0.0,7,2.22764110035655,48.8930820995593,"1,8"
172,46692183,1500,building, ,government,0.0,7,2.227619700089122,48.89310420039857,"1,8"
173,46692183,1500,building, ,government,0.0,7,2.22759789962339,48.89312659981277,"1,8"
174,46692184,1500,building,Conservation,government,0.0,8,2.22783870029582,48.89283919986922,"1,8"
175,46692184,1500,building,Conservation,government,0.0,8,2.227859599640851,48.8928461003673,"1,8"
176,46692184,1500,building,Conservation,government,0.0,8,2.227878399968233,48.892855000058255,"1,8"
177,46692184,1500,building,Conservation,government,0.0,8,2.22790219962684,48.892865999666185,"1,8"
178,46692184,1500,building,Conservation,government,0.0,8,2.227926600032617,48.89288389977219,"1,8"
179,46692184,1500,building,Conservation,government,0.0,8,2.227944400313845,48.892903899795215,"1,8"
180,46692184,1500,building,Conservation,government,0.0,8,2.227954100401462,48.89292639993346,"1,8"
181,46692184,1500,building,Conservation,government,0.0,8,2.227958700433703,48.89294349964285,"1,8"
182,46692184,1500,building,Conservation,government,0.0,8,2.227956999815717,48.89296229997024,"1,8"
183,46692184,1500,building,Conservation,government,0.0,8,2.22795299963127,48.89298270019151,"1,8"
184,46692184,1500,building,Conservation,government,0.0,8,2.227936099571366,48.89300709969797,"1,8"
185,46692184,1500,building,Conservation,government,0.0,8,2.227975300120079,48.893020999619466,"1,8"
186,46692184,1500,building,Conservation,government,0.0,8,2.228090800050438,48.89306210043566,"1,8"
187,46692184,1500,building,Conservation,government,0.0,8,2.228170099570491,48.892959000357614,"1,8"
188,46692184,1500,building,Conservation,government,0.0,8,2.228024100032258,48.892905800062685,"1,8"
189,46692184,1500,building,Conservation,government,0.0,8,2.228017300258273,48.892893099836726,"1,8"
190,46692184,1500,building,Conservation,government,0.0,8,2.228007600170656,48.8928746997077,"1,8"
191,46692184,1500,building,Conservation,government,0.0,8,2.227990299912449,48.89285469968468,"1,8"
