OBJECTID,osm_id,code,fclass,name,ORIG_FID,X,Y,grid
4822,637150996,7218,grass, ,237,2.236635499828481,48.88895440022543,"7,3"
4823,637150996,7218,grass, ,237,2.236592700193,48.888999399602646,"7,3"
4824,637177348,7218,grass, ,238,2.232846499566335,48.89175050038534,"5,7"
4825,637177348,7218,grass, ,238,2.232910800193338,48.89176550017777,"5,7"
4826,637177348,7218,grass, ,238,2.232975199745738,48.891781300366745,"5,7"
4827,637177348,7218,grass, ,238,2.233043600381905,48.8918006996426,"5,7"
4828,637177348,7218,grass, ,238,2.233098600220274,48.89182100003916,"5,7"
4829,637177348,7218,grass, ,238,2.233105300169541,48.891798999923935,"5,7"
4830,637177348,7218,grass, ,238,2.233160999680422,48.891808000338976,"5,7"
4831,637177348,7218,grass, ,238,2.233209900316695,48.89181840009911,"5,7"
4832,637177348,7218,grass, ,238,2.233209900316695,48.89185890016818,"5,7"
4833,637177348,7218,grass, ,238,2.233353399739656,48.891909200149534,"5,7"
4834,637177348,7218,grass, ,238,2.233457999886809,48.891947100278514,"5,7"
4835,637177348,7218,grass, ,238,2.233531999702052,48.89198479985868,"5,7"
4836,637177348,7218,grass, ,238,2.233556499932547,48.89199730043509,"5,7"
4837,637177348,7218,grass, ,238,2.233623199950785,48.89187620042634,"5,7"
4838,637177348,7218,grass, ,238,2.233641600079807,48.89188009988674,"5,7"
4839,637177348,7218,grass, ,238,2.233602500255245,48.89185649987763,"5,7"
4840,637177348,7218,grass, ,238,2.233546199997193,48.89182500022366,"5,7"
4841,637177348,7218,grass, ,238,2.233492499679187,48.89179990014532,"5,7"
4842,637177348,7218,grass, ,238,2.233424500140643,48.89177339982263,"5,7"
4843,637177348,7218,grass, ,238,2.233339300168609,48.89174700022392,"5,7"
4844,637177348,7218,grass, ,238,2.23327189957854,48.891729299767405,"5,6"
4845,637177348,7218,grass, ,238,2.23322469956031,48.89169489979986,"5,6"
4846,637177348,7218,grass, ,238,2.233168300376804,48.89165749969391,"5,6"
4847,637177348,7218,grass, ,238,2.233127400109481,48.89163499955566,"5,6"
4848,637177348,7218,grass, ,238,2.233062399809967,48.891611199897,"5,6"
4849,637177348,7218,grass, ,238,2.233034199768554,48.89160059958807,"5,6"
4850,637177348,7218,grass, ,238,2.232939000234694,48.89156180013703,"5,6"
4851,637177348,7218,grass, ,238,2.232902799824387,48.89159880004462,"5,6"
4852,637177348,7218,grass, ,238,2.232877300447115,48.89163670017365,"5,6"
4853,637177348,7218,grass, ,238,2.232858500119733,48.89167990000743,"5,6"
4854,637177348,7218,grass, ,238,2.232847799986018,48.891719599679845,"5,6"
4855,637177348,7218,grass, ,238,2.232846499566335,48.89175050038534,"5,7"
4856,637177349,7218,grass, ,239,2.233017299708649,48.8915049998559,"5,6"
4857,637177349,7218,grass, ,239,2.233049499934509,48.8915158996391,"5,6"
4858,637177349,7218,grass, ,239,2.233084200275698,48.89152609974975,"5,6"
4859,637177349,7218,grass, ,239,2.233132299615988,48.891536799883454,"5,6"
4860,637177349,7218,grass, ,239,2.23318060040441,48.891545099726606,"5,6"
4861,637177349,7218,grass, ,239,2.233218299984628,48.89155090035382,"5,6"
4862,637177349,7218,grass, ,239,2.233258899878365,48.89155560021084,"5,6"
4863,637177349,7218,grass, ,239,2.233361499933324,48.891559999694266,"5,6"
4864,637177349,7218,grass, ,239,2.233440599803885,48.8915582999756,"5,6"
4865,637177349,7218,grass, ,239,2.233522400338529,48.891551199828086,"5,6"
4866,637177349,7218,grass, ,239,2.23360150020909,48.89153799957904,"5,6"
4867,637177349,7218,grass, ,239,2.233656500047459,48.8915283003908,"5,6"
4868,637177349,7218,grass, ,239,2.233742299867288,48.8915035996115,"5,6"
4869,637177349,7218,grass, ,239,2.233951500161652,48.89141450017911,"5,6"
4870,637177349,7218,grass, ,239,2.233889800374016,48.89139869999008,"5,6"
4871,637177349,7218,grass, ,239,2.23386439992214,48.89139429960727,"5,6"
4872,637177349,7218,grass, ,239,2.233754400245402,48.89138370019765,"5,6"
4873,637177349,7218,grass, ,239,2.233680600079651,48.89138279997627,"5,6"
4874,637177349,7218,grass, ,239,2.23356929998323,48.89138720035908,"5,6"
4875,637177349,7218,grass, ,239,2.233462000071313,48.891395100003926,"5,6"
4876,637177349,7218,grass, ,239,2.233352100219292,48.89140919957497,"5,6"
4877,637177349,7218,grass, ,239,2.233255500441032,48.891423399870064,"5,6"
4878,637177349,7218,grass, ,239,2.233138799915707,48.89145419985152,"5,6"
4879,637177349,7218,grass, ,239,2.233066399994414,48.89147889973151,"5,6"
4880,637177349,7218,grass, ,239,2.233017299708649,48.8915049998559,"5,6"
4881,637177350,7218,grass, ,240,2.232482200393292,48.89142940014676,"4,6"
4882,637177350,7218,grass, ,240,2.232527699793536,48.891449400169726,"4,6"
4883,637177350,7218,grass, ,240,2.232569500282239,48.89146749992523,"4,6"
4884,637177350,7218,grass, ,240,2.232554200116283,48.89148950004045,"4,6"
4885,637177350,7218,grass, ,240,2.23251450044387,48.89154880043685,"4,6"
4886,637177350,7218,grass, ,240,2.232638599691654,48.89158740023839,"4,6"
4887,637177350,7218,grass, ,240,2.232551100153216,48.891766299675055,"4,7"
4888,637177350,7218,grass, ,240,2.232609799802447,48.891782599887115,"4,7"
4889,637177350,7218,grass, ,240,2.23274999961285,48.89184200010829,"5,7"
4890,637177350,7218,grass, ,240,2.232740500074044,48.891794100417435,"5,7"
4891,637177350,7218,grass, ,240,2.232741199746613,48.89174779972126,"5,7"
4892,637177350,7218,grass, ,240,2.232743900410696,48.89171079981361,"5,6"
4893,637177350,7218,grass, ,240,2.232751200207758,48.89166629956014,"5,6"
4894,637177350,7218,grass, ,240,2.232773999820267,48.89161649960181,"5,6"
4895,637177350,7218,grass, ,240,2.232826399718647,48.89154239996185,"5,6"
4896,637177350,7218,grass, ,240,2.232859900364133,48.891507999994246,"5,6"
4897,637177350,7218,grass, ,240,2.232902799824387,48.89147539957008,"5,6"
4898,637177350,7218,grass, ,240,2.232971199561234,48.89143569989767,"5,6"
4899,637177350,7218,grass, ,240,2.233044999726985,48.89140220015145,"5,6"
4900,637177350,7218,grass, ,240,2.233120100312419,48.89137839959352,"5,6"
4901,637177350,7218,grass, ,240,2.233209900316695,48.89135550015624,"5,6"
