grid,gird Longitude,grid Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"16,2",48.88777665,2.24898035,Pizzeria Andréa,48.88792264,2.24819541,Italian Restaurant
"16,2",48.88777665,2.24898035,Esplanade du Général de Gaulle,48.88860693,2.248034477,Pedestrian Plaza
"16,2",48.88777665,2.24898035,Ankka,48.88789,2.247593,Fast Food Restaurant
"16,2",48.88777665,2.24898035,Ankka,48.88789,2.247593,Salad Restaurant
"16,2",48.88777665,2.24898035,Passerelle de l'Orme,48.88705316,2.248849869,Bridge
"16,2",48.88777665,2.24898035,Les Hommes de la Cité,48.88851733,2.24962558,Sculpture Garden
"16,2",48.88777665,2.24898035,La Tavola at Sofitel Paris la Défense,48.88831064,2.247691154,Restaurant
"17,2",48.88777665,2.25039225,Bassin Takis,48.88797203,2.25030899,Fountain
"17,2",48.88777665,2.25039225,Nodd Bar,48.88802846,2.250850797,Bar
"17,2",48.88777665,2.25039225,Skyline Bar & Lounge,48.88841646,2.25058794,Hotel Bar
"17,2",48.88777665,2.25039225,Meliá The Place,48.88848136,2.250406891,Lounge
"17,2",48.88777665,2.25039225,Meliá The Place,48.88848136,2.250406891,Restaurant
"17,2",48.88777665,2.25039225,Terrasse Bellini,48.88703513,2.251313152,Plaza
"17,2",48.88777665,2.25039225,Les Hommes de la Cité,48.88851733,2.24962558,Sculpture Garden
"18,2",48.88777665,2.25180415,Terrasse Bellini,48.88703513,2.251313152,Plaza
"18,2",48.88777665,2.25180415,Petit-déjeuner @ Fraser Suites,48.888076,2.252474,Breakfast Spot
"18,2",48.88777665,2.25180415,Place des Dominos,48.88748317,2.252665992,Plaza
"18,2",48.88777665,2.25180415,ibis Breakfast Room (Petit Déjeuner @ Hôtel ibis Paris La Défense Centre),48.88830712,2.252460122,Breakfast Spot
"18,2",48.88777665,2.25180415,Nodd Bar,48.88802846,2.250850797,Bar
"18,2",48.88777665,2.25180415,Skyline Bar & Lounge,48.88841646,2.25058794,Hotel Bar
"18,2",48.88777665,2.25180415,Restaurant de l'Hôtel Novotel Paris la Défense,48.888035,2.253011,Modern European Restaurant
"18,2",48.88777665,2.25180415,Meliá The Place,48.88848136,2.250406891,Lounge
"18,2",48.88777665,2.25180415,Meliá The Place,48.88848136,2.250406891,Restaurant
"18,2",48.88777665,2.25180415,Square Vivaldi,48.888575,2.252692,Park
"19,2",48.88777665,2.25321605,Restaurant de l'Hôtel Novotel Paris la Défense,48.888035,2.253011,Modern European Restaurant
"19,2",48.88777665,2.25321605,Place des Dominos,48.88748317,2.252665992,Plaza
"19,2",48.88777665,2.25321605,Petit-déjeuner @ Fraser Suites,48.888076,2.252474,Breakfast Spot
"19,2",48.88777665,2.25321605,ibis Breakfast Room (Petit Déjeuner @ Hôtel ibis Paris La Défense Centre),48.88830712,2.252460122,Breakfast Spot
"19,2",48.88777665,2.25321605,Square Vivaldi,48.888575,2.252692,Park
"3,3",48.88871212,2.23062565,Aux Delices de Puteaux,48.8891323,2.231247872,Moroccan Restaurant
"3,3",48.88871212,2.23062565,Al Siwan,48.88887853,2.231777608,Lebanese Restaurant
"3,3",48.88871212,2.23062565,Place des Marées,48.88785484,2.231245549,Park
"4,3",48.88871212,2.23203755,Al Siwan,48.88887853,2.231777608,Lebanese Restaurant
